ID    Dist Tree     BLEU Score    Lemma-Pos     Dist Lemma    Dist Word 
--    ----------    ----------    ----------    ----------    ----------
1:    2.76923077    0.06666667    0.30769231    0.20000000    0.30769231
2:    1.38461538    0.38611111    0.84615385    0.70000000    0.84615385
3:    3.15384615    0.50648148    0.69230769    0.70000000    0.69230769
4:    3.87500000    0.77447552    0.81250000    0.84615385    0.81250000
5:    1.93750000    0.32342657    0.62500000    0.53846154    0.62500000
6:    2.08333333    0.68888889    0.91666667    0.80000000    0.91666667
7:    3.18181818    0.34523810    0.81818182    0.75000000    0.90909091
8:    2.17647059    0.41605617    0.64705882    0.64285714    0.70588235
9:    2.07142857    0.47340067    0.92857143    0.90909091    0.92857143
10:    1.31250000    0.34393939    0.75000000    0.75000000    0.75000000
11:    3.00000000    0.52116402    0.83333333    0.77777778    0.83333333
12:    2.33333333    0.23333333    0.66666667    0.50000000    0.66666667
13:    3.69230769    0.41944444    0.76923077    0.70000000    0.76923077
14:    1.38095238    0.25262515    0.42857143    0.46666667    0.42857143
15:    3.46153846    0.10000000    0.38461538    0.30000000    0.38461538
16:    1.36363636    0.12500000    0.54545455    0.25000000    0.63636364
17:    1.86666667    0.68989899    0.73333333    0.83333333    0.73333333
18:    2.30000000    0.41587302    0.80000000    0.71428571    0.80000000
19:    2.38461538    0.10000000    0.38461538    0.30000000    0.38461538
20:    2.40000000    0.19047619    0.70000000    0.57142857    0.70000000
21:    1.11111111    0.22380952    0.55555556    0.53333333    0.55555556
22:    1.18750000    0.40248640    0.68750000    0.69230769    0.68750000
23:    3.44444444    0.35555556    0.77777778    0.66666667    0.77777778
24:    4.50000000    0.46349206    0.90000000    0.85714286    1.00000000
25:    5.90909091    0.33928571    0.72727273    0.75000000    0.72727273
26:    0.69230769    0.53752437    0.61538462    0.70000000    0.61538462
27:    2.58333333    0.72619048    1.00000000    1.00000000    1.00000000
28:    1.81250000    0.62878788    0.81250000    0.75000000    0.81250000
29:    1.76190476    0.19027778    0.57142857    0.37500000    0.61904762
30:    3.12500000    0.20000000    0.62500000    0.60000000    0.62500000
31:    5.80000000    0.41587302    0.80000000    0.71428571    0.80000000
32:    3.25000000    0.22685185    0.75000000    0.44444444    0.75000000
33:    2.30000000    0.29365079    0.80000000    0.71428571    0.80000000
34:    3.71428571    0.72154882    0.85714286    0.90909091    0.92857143
35:    6.70000000    0.81111111    1.00000000    1.00000000    1.00000000
36:    1.81818182    0.89682540    1.00000000    1.00000000    1.00000000
37:    2.52941176    0.31318681    0.70588235    0.78571429    0.76470588
38:    1.81818182    0.59325397    0.90909091    0.87500000    0.90909091
39:    1.45454545    0.25575397    0.63636364    0.56250000    0.63636364
40:    3.40000000    0.14285714    0.40000000    0.42857143    0.40000000
41:    5.16666667    0.20000000    0.66666667    0.60000000    0.66666667
42:    3.06250000    0.37946128    0.50000000    0.54545455    0.50000000
43:    2.90000000    0.34920635    0.60000000    0.71428571    0.70000000
44:    4.35714286    0.58080808    0.92857143    0.81818182    0.92857143
45:    3.18181818    0.34259259    0.81818182    0.77777778    0.81818182
46:    4.07692308    0.49814815    0.76923077    0.70000000    0.84615385
47:    2.10000000    0.75555556    1.00000000    1.00000000    1.00000000
48:    1.88888889    0.46666667    0.88888889    1.00000000    0.88888889
49:    2.90000000    0.29365079    0.70000000    0.57142857    0.80000000
50:    2.78947368    0.52106227    0.94736842    0.92857143    0.94736842
51:    4.40000000    0.46349206    0.80000000    0.71428571    0.90000000
52:    4.12500000    0.20000000    0.75000000    0.60000000    0.75000000
53:    2.69230769    0.53981481    0.84615385    0.80000000    0.84615385
54:    1.60000000    0.58571429    1.00000000    0.71428571    1.00000000
55:    1.29411765    0.42185592    0.70588235    0.71428571    0.70588235
56:    1.21428571    0.44983165    0.78571429    0.72727273    0.85714286
57:    0.94285714    0.16819923    0.45714286    0.36666667    0.45714286
58:    3.00000000    0.34920635    0.80000000    0.71428571    0.80000000
59:    3.18181818    0.79365079    1.00000000    1.00000000    1.00000000
60:    3.42857143    0.57685185    0.85714286    0.80000000    0.85714286
61:    2.23076923    0.57685185    0.92307692    0.80000000    0.92307692
62:    5.00000000    0.20000000    0.50000000    0.40000000    0.50000000
63:    4.00000000    0.29365079    0.80000000    0.71428571    0.80000000
64:    2.09090909    0.64880952    1.00000000    0.87500000    1.00000000
65:    1.50000000    0.20000000    0.62500000    0.40000000    0.75000000
66:    3.75000000    0.13333333    0.62500000    0.40000000    0.62500000
67:    1.00000000    0.31582492    0.53333333    0.63636364    0.53333333
68:    2.77777778    0.70000000    1.00000000    1.00000000    1.00000000
69:    0.70000000    0.12184343    0.37500000    0.30303030    0.37500000
70:    1.90909091    0.21428571    0.54545455    0.37500000    0.72727273
71:    1.90909091    0.33928571    0.90909091    0.87500000    0.90909091
72:    1.50000000    0.35317460    0.75000000    0.55555556    0.75000000
73:    1.14285714    0.36429739    0.76190476    0.64705882    0.80952381
74:    3.20000000    0.09523810    0.50000000    0.28571429    0.50000000
75:    4.33333333    0.52116402    0.83333333    0.77777778    0.83333333
76:    2.41176471    0.57631258    1.00000000    0.85714286    1.00000000
77:    3.66666667    0.26388889    0.83333333    0.66666667    0.83333333
78:    4.00000000    0.23333333    0.66666667    0.50000000    0.66666667
79:    3.20000000    0.19047619    0.70000000    0.57142857    0.80000000
80:    2.72727273    0.64087302    0.81818182    0.87500000    0.90909091
81:    0.73913043    0.58927875    0.78260870    0.80000000    0.82608696
82:    0.51351351    0.25242862    0.43243243    0.41935484    0.43243243
83:    2.21052632    0.16666667    0.52631579    0.43750000    0.52631579
84:    1.25000000    0.53496503    0.93750000    0.92307692    0.93750000
85:    6.00000000    0.29365079    0.70000000    0.71428571    0.80000000
86:    1.16129032    0.20714286    0.41935484    0.52380952    0.48387097
87:    4.18181818    0.31746032    0.63636364    0.50000000    0.63636364
88:    2.91666667    0.60582011    0.83333333    0.88888889    0.91666667
89:    1.84210526    0.27361111    0.68421053    0.68750000    0.68421053
90:    3.33333333    0.18981481    0.50000000    0.44444444    0.50000000
91:    4.18181818    0.25595238    0.54545455    0.62500000    0.63636364
92:    2.05000000    0.55647131    0.70000000    0.71428571    0.70000000
93:    2.38461538    0.41944444    0.84615385    0.80000000    0.84615385
94:    3.62500000    0.13333333    0.62500000    0.40000000    0.62500000
95:    0.71428571    0.55723906    0.78571429    0.72727273    0.85714286
96:    2.80000000    0.14285714    0.40000000    0.42857143    0.40000000
97:    1.38461538    0.35277778    0.61538462    0.60000000    0.69230769
98:    1.66666667    0.31613757    0.66666667    0.55555556    0.66666667
