ID    Dist Tree     BLEU Score    Lemma-Pos     Dist Lemma    Dist Word 
--    ----------    ----------    ----------    ----------    ----------
1:    0.21414141    0.62500000    0.62500000    0.54545455    0.00000000
2:    0.16666667    1.00000000    1.00000000    0.66666667    1.00000000
3:    0.38965618    0.87500000    0.81250000    0.69230769    0.00000000
4:    0.58809524    1.00000000    1.00000000    0.80000000    1.00000000
5:    0.17500000    0.62500000    0.62500000    0.33333333    0.00000000
6:    0.74678363    0.95833333    0.95833333    0.95238095    1.00000000
7:    0.11842105    0.39130435    0.34782609    0.42105263    0.00000000
8:    0.12500000    0.55555556    0.55555556    0.50000000    0.00000000
9:    0.32390873    0.91666667    0.91666667    0.77777778    0.00000000
10:    0.43035714    0.70000000    0.60000000    0.57142857    0.00000000
11:    0.18452381    0.70000000    0.70000000    0.42857143    0.00000000
12:    0.12500000    0.88888889    0.88888889    0.33333333    1.00000000
13:    0.30059524    0.72727273    0.72727273    0.75000000    0.00000000
14:    0.19900932    0.58823529    0.52941176    0.53846154    0.00000000
15:    0.44412879    0.85714286    0.85714286    0.63636364    0.00000000
16:    0.25833333    0.88888889    0.77777778    0.83333333    1.00000000
17:    0.14236111    0.50000000    0.50000000    0.44444444    0.00000000
18:    0.24093137    0.72727273    0.68181818    0.64705882    0.00000000
19:    0.36816735    0.64285714    0.64285714    0.55000000    0.00000000
20:    0.25892857    0.81818182    0.72727273    0.75000000    0.00000000
21:    0.22569444    0.75000000    0.75000000    0.77777778    0.00000000
22:    0.42797619    0.72727273    0.72727273    0.75000000    0.00000000
23:    0.15000000    0.71428571    0.71428571    0.60000000    0.00000000
24:    0.15000000    0.83333333    0.83333333    0.60000000    1.00000000
25:    0.18452381    0.70000000    0.70000000    0.57142857    0.00000000
26:    0.37595997    0.61904762    0.52380952    0.83333333    0.00000000
27:    0.26250000    0.62500000    0.62500000    0.80000000    1.00000000
28:    0.26250000    0.87500000    0.87500000    0.80000000    0.00000000
29:    0.23055556    0.61538462    0.61538462    0.70000000    0.00000000
30:    0.20601504    0.74074074    0.74074074    0.57142857    0.00000000
31:    0.21666667    0.77777778    0.77777778    0.33333333    0.00000000
32:    0.28958333    0.84615385    0.84615385    0.70000000    0.00000000
33:    0.21703297    0.61111111    0.61111111    0.64285714    0.00000000
34:    0.30833333    0.71428571    0.71428571    0.60000000    0.00000000
35:    0.15119048    0.65000000    0.55000000    0.46666667    0.00000000
36:    0.65763889    1.00000000    1.00000000    0.90909091    0.00000000
37:    0.33630952    0.81818182    0.81818182    0.75000000    0.00000000
38:    0.50178571    0.90000000    0.90000000    0.85714286    0.00000000
39:    0.22767857    0.72727273    0.63636364    0.62500000    0.00000000
40:    0.07142857    0.60000000    0.40000000    0.14285714    1.00000000
41:    0.16071429    0.45454545    0.45454545    0.50000000    0.00000000
42:    0.58767483    0.87500000    0.87500000    0.84615385    0.00000000
43:    0.38219697    0.71428571    0.64285714    0.45454545    0.00000000
44:    0.29761905    0.80000000    0.70000000    0.85714286    0.00000000
45:    0.56894841    0.83333333    0.83333333    0.88888889    0.00000000
46:    0.80659341    0.94444444    0.88888889    0.93333333    0.00000000
47:    0.43907828    0.92857143    0.92857143    0.90909091    0.00000000
48:    0.05000000    0.42857143    0.42857143    0.20000000    0.00000000
49:    0.16071429    0.50000000    0.50000000    0.37500000    0.00000000
50:    0.69741300    0.85714286    0.80952381    0.81250000    0.00000000
51:    0.21022727    0.63157895    0.57894737    0.66666667    0.00000000
52:    0.88750000    1.00000000    1.00000000    1.00000000    0.00000000
53:    0.26166842    0.43478261    0.43478261    0.52941176    0.00000000
54:    0.22569444    0.58333333    0.58333333    0.77777778    1.00000000
55:    0.30059524    0.92857143    0.92857143    0.62500000    0.00000000
56:    0.09065934    0.38095238    0.38095238    0.28571429    0.00000000
57:    0.29761905    0.80000000    0.70000000    0.85714286    0.00000000
58:    0.43253968    0.91666667    0.91666667    0.77777778    0.00000000
59:    0.10000000    0.57142857    0.57142857    0.40000000    1.00000000
60:    0.21666667    0.66666667    0.66666667    0.66666667    0.00000000
61:    0.08333333    0.62500000    0.62500000    0.33333333    0.00000000
