"pred"		"min"		"max"
77.7931		77.1905		78.3957
88.5923		87.9898		89.1949
87.7969		87.1943		88.3995
97.4838		96.8812		98.0864
83.9478		83.3452		84.5504
79.2097		78.6071		79.8123
82.9465		82.3439		83.549
93.314		92.7114		93.9165
68.27		67.6674		68.8726
91.6076		91.005		92.2102
82.3781		81.7756		82.9807
84.4358		83.8332		85.0384
94.5267		93.9241		95.1292
94.8791		94.2765		95.4817
87.0889		86.4863		87.6915
94.2241		93.6216		94.8267
86.922		86.3194		87.5246
6.9619		6.3593		7.5645
91.6745		91.0719		92.277
81.348		80.7454		81.9506
76.0501		75.4475		76.6527
86.6289		86.0263		87.2315
96.3692		95.7666		96.9718
90.102		89.4994		90.7046
88.3483		87.7457		88.9509
93.9694		93.3668		94.572
71.6761		71.0735		72.2787
80.1825		79.5799		80.7851
89.0984		88.4958		89.7009
86.068		85.4655		86.6706
95.2686		94.666		95.8711
80.6661		80.0635		81.2687
73.8268		73.2242		74.4294
87.9812		87.3786		88.5838
92.4377		91.8351		93.0403
92.273		91.6705		92.8756
95.2635		94.6609		95.8661
0		-0.6026		0.6026
96.8771		96.2745		97.4797
94.2699		93.6673		94.8725
88.9479		88.3453		89.5504
96.4797		95.8771		97.0823
89.4713		88.8687		90.0739
78.5422		77.9396		79.1448
88.3945		87.7919		88.9971
77.5276		76.925		78.1302
91.1602		90.5576		91.7627
95.2689		94.6663		95.8715
90.0636		89.4611		90.6662
83.977		83.3744		84.5796
94.9505		94.348		95.5531
88.8636		88.261		89.4662
77.6854		77.0828		78.288
89.1703		88.5677		89.7728
96.7566		96.154		97.3592
91.381		90.7784		91.9836
94.5713		93.9688		95.1739
90.1363		89.5337		90.7389
92.7814		92.1788		93.384
96.5007		95.8981		97.1033
86.7147		86.1121		87.3173
95.9107		95.3082		96.5133
84.7939		84.1913		85.3965
87.1311		86.5285		87.7337
91.9334		91.3308		92.536
68.2349		67.6323		68.8374
0		-0.6026		0.6026
75.1468		74.5442		75.7494
94.5987		93.9962		95.2013
87.8534		87.2508		88.456
82.8358		82.2332		83.4384
81.6363		81.0337		82.2389
89.515		88.9124		90.1176
97.1747		96.5721		97.7773
89.6719		89.0693		90.2745
74.0777		73.4751		74.6803
84.7605		84.158		85.3631
95.5653		94.9627		96.1679
96.0544		95.4518		96.657
85.1098		84.5072		85.7124
97.6197		97.0171		98.2223
82.9989		82.3963		83.6015
94.4412		93.8386		95.0438
73.9295		73.3269		74.5321
88.8742		88.2716		89.4768
89.2176		88.6151		89.8202
88.2029		87.6003		88.8054
77.1203		76.5177		77.7229
81.9896		81.387		82.5922
86.6314		86.0288		87.234
92.0039		91.4013		92.6064
82.0303		81.4278		82.6329
94.5145		93.9119		95.1171
92.1316		91.529		92.7342
92.114		91.5114		92.7165
88.7135		88.1109		89.3161
85.4337		84.8311		86.0363
74.3604		73.7578		74.963
85.7163		85.1137		86.3189
91.9302		91.3276		92.5328
5.9648		5.3622		6.5674
79.6632		79.0606		80.2658
95.533		94.9304		96.1356
97.392		96.7894		97.9946
92.7771		92.1746		93.3797
91.2079		90.6054		91.8105
93.718		93.1154		94.3206
98.5859		97.9833		99.1885
86.9406		86.338		87.5432
82.2485		81.6459		82.8511
87.5253		86.9227		88.1279
91.1235		90.5209		91.7261
73.1189		72.5163		73.7215
92.8049		92.2023		93.4075
88.1993		87.5967		88.8019
93.7636		93.161		94.3662
88.553		87.9505		89.1556
92.5152		91.9126		93.1177
92.4003		91.7977		93.0028
73.1467		72.5441		73.7493
93.3306		92.728		93.9332
92.0495		91.4469		92.6521
87.4455		86.8429		88.0481
83.8776		83.275		84.4802
57.3625		56.7599		57.9651
92.6854		92.0828		93.2879
79.4253		78.8227		80.0279
85.4016		84.799		86.0041
94.1037		93.5011		94.7063
80.5345		79.9319		81.1371
76.5103		75.9077		77.1129
96.0625		95.4599		96.6651
83.9299		83.3273		84.5325
95.0618		94.4592		95.6644
56.121		55.5184		56.7236
96.6829		96.0803		97.2854
90.614		90.0114		91.2165
94.2967		93.6941		94.8992
71.0568		70.4542		71.6594
91.4362		90.8337		92.0388
0.0443		-0.5583		0.6469
85.4966		84.894		86.0992
75.542		74.9394		76.1446
89.4465		88.8439		90.0491
76.8309		76.2283		77.4335
93.4513		92.8487		94.0539
70.1681		69.5655		70.7706
93.3807		92.7781		93.9833
84.2343		83.6317		84.8369
93.8744		93.2718		94.477
0		-0.6026		0.6026
81.5282		80.9256		82.1308
81.2656		80.6631		81.8682
92.3434		91.7408		92.946
93.015		92.4124		93.6176
86.6674		86.0648		87.27
79.7266		79.124		80.3291
92.9252		92.3226		93.5278
97.932		97.3294		98.5346
90.5688		89.9662		91.1714
87.4264		86.8238		88.029
89.9992		89.3966		90.6018
77.8334		77.2308		78.436
92.4629		91.8604		93.0655
85.9362		85.3336		86.5388
91.7275		91.125		92.3301
-0.0471		-0.6497		0.5555
77.752		77.1495		78.3546
91.5662		90.9636		92.1688
89.5465		88.9439		90.1491
97.1379		96.5353		97.7405
96.9862		96.3836		97.5888
90.7217		90.1192		91.3243
90.4809		89.8783		91.0835
95.3858		94.7832		95.9883
91.833		91.2304		92.4356
85.4393		84.8367		86.0419
91.249		90.6464		91.8516
92.2134		91.6109		92.816
83.0613		82.4587		83.6639
95.1107		94.5081		95.7133
79.8107		79.2081		80.4132
76.5801		75.9775		77.1827
84.7299		84.1273		85.3325
93.1018		92.4992		93.7044
79.6563		79.0538		80.2589
73.9788		73.3762		74.5814
2.5035		1.9009		3.1061
87.288		86.6855		87.8906
95.5239		94.9213		96.1265
67.2398		66.6372		67.8424
96.5895		95.9869		97.1921
87.8559		87.2534		88.4585
90.194		89.5914		90.7966
90.0108		89.4082		90.6134
94.164		93.5614		94.7666
88.2175		87.6149		88.8201
91.6799		91.0773		92.2825
88.7955		88.1929		89.3981
93.4146		92.812		94.0172
90.9727		90.3701		91.5753
94.4564		93.8538		95.0589
84.3625		83.7599		84.9651
85.6732		85.0706		86.2758
75.258		74.6555		75.8606
89.5595		88.9569		90.162
80.5622		79.9596		81.1648
89.5625		88.9599		90.165
95.8947		95.2921		96.4973
68.7489		68.1464		69.3515
76.3313		75.7287		76.9339
93.2813		92.6787		93.8839
92.6601		92.0575		93.2627
88.8214		88.2188		89.424
84.9211		84.3185		85.5237
95.3792		94.7766		95.9818
71.8657		71.2632		72.4683
75.115		74.5124		75.7176
89.1868		88.5842		89.7893
88.4391		87.8366		89.0417
78.0581		77.4555		78.6607
92.1605		91.5579		92.7631
93.0012		92.3986		93.6038
83.8319		83.2293		84.4345
94.7379		94.1354		95.3405
86.1338		85.5313		86.7364
92.9428		92.3402		93.5454
88.2219		87.6193		88.8245
85.9489		85.3463		86.5515
91.6413		91.0387		92.2438
76.8355		76.2329		77.4381
89.8571		89.2545		90.4597
85.1904		84.5878		85.793
88.1216		87.519		88.7242
92.0428		91.4402		92.6454
88.6959		88.0933		89.2985
89.3177		88.7151		89.9203
91.897		91.2945		92.4996
96.3069		95.7043		96.9095
86.7142		86.1116		87.3168
95.5936		94.9911		96.1962
93.5233		92.9207		94.1259
92.7895		92.187		93.3921
73.0686		72.4661		73.6712
90.5942		89.9916		91.1967
68.5462		67.9436		69.1488
93.9628		93.3602		94.5654
90.8599		90.2573		91.4625
90.928		90.3254		91.5306
74.4035		73.8009		75.0061
83.1962		82.5936		83.7988
82.8902		82.2877		83.4928
88.614		88.0114		89.2166
89.8393		89.2368		90.4419
96.0776		95.475		96.6802
68.6799		68.0774		69.2825
91.0176		90.415		91.6202
89.279		88.6764		89.8816
88.7194		88.1168		89.322
