"pred"		"min"		"max"
75.8387		75.2821		76.3952
89.1824		88.6259		89.739
91.7715		91.2149		92.3281
95.5618		95.0053		96.1184
86.1625		85.6059		86.7191
75.6923		75.1358		76.2489
81.6505		81.0939		82.2071
93.5138		92.9572		94.0704
69.2856		68.729		69.8421
90.7321		90.1755		91.2886
83.8495		83.2929		84.4061
82.9222		82.3656		83.4788
92.0287		91.4721		92.5853
91.1808		90.6243		91.7374
89.9944		89.4378		90.551
96.8351		96.2786		97.3917
82.5843		82.0278		83.1409
35.1643		34.6077		35.7209
95.3579		94.8013		95.9144
82.0927		81.5361		82.6492
78.5914		78.0348		79.148
93.2574		92.7008		93.814
95.5735		95.0169		96.1301
89.6883		89.1317		90.2449
85.9738		85.4172		86.5304
93.4709		92.9143		94.0274
74.035		73.4784		74.5916
82.795		82.2384		83.3515
91.9525		91.3959		92.509
84.184		83.6275		84.7406
92.8039		92.2473		93.3605
76.8293		76.2727		77.3858
65.2685		64.7119		65.8251
89.0775		88.5209		89.6341
89.6812		89.1247		90.2378
92.6207		92.0641		93.1772
96.5941		96.0375		97.1506
17.1384		16.5818		17.6949
95.8857		95.3291		96.4422
93.85		93.2934		94.4066
89.2533		88.6968		89.8099
93.231		92.6744		93.7875
92.9103		92.3537		93.4668
74.8614		74.3048		75.4179
87.4686		86.9121		88.0252
79.5019		78.9454		80.0585
97.3882		96.8316		97.9447
91.8894		91.3328		92.4459
87.2139		86.6573		87.7705
81.3264		80.7698		81.8829
92.1087		91.5522		92.6653
92.5647		92.0081		93.1213
50.5756		50.019		51.1322
90.0579		89.5013		90.6145
93.2779		92.7214		93.8345
89.4484		88.8918		90.0049
94.165		93.6084		94.7215
90.2699		89.7134		90.8265
90.7908		90.2343		91.3474
95.296		94.7395		95.8526
36.578		36.0214		37.1345
96.179		95.6224		96.7355
88.6892		88.1326		89.2457
82.862		82.3054		83.4186
91.2515		90.695		91.8081
55.1685		54.6119		55.7251
36.7592		36.2026		37.3158
76.6885		76.1319		77.2451
93.3525		92.7959		93.9091
82.6224		82.0659		83.179
81.8893		81.3327		82.4458
78.4759		77.9194		79.0325
87.9684		87.4118		88.5249
96.0685		95.5119		96.6251
93.1295		92.5729		93.6861
66.0917		65.5352		66.6483
83.9081		83.3516		84.4647
94.9984		94.4418		95.5549
95.6381		95.0816		96.1947
85.0702		84.5136		85.6268
95.6897		95.1331		96.2462
83.9684		83.4118		84.525
94.1792		93.6226		94.7358
84.4799		83.9233		85.0364
86.2813		85.7247		86.8379
92.1322		91.5756		92.6888
86.719		86.1624		87.2755
79.9662		79.4096		80.5227
85.4377		84.8811		85.9943
84.6652		84.1086		85.2218
96.2491		95.6926		96.8057
83.5079		82.9513		84.0645
88.5991		88.0425		89.1556
94.8195		94.2629		95.3761
94.5453		93.9887		95.1018
86.7942		86.2376		87.3507
82.6472		82.0907		83.2038
80.7867		80.2302		81.3433
87.502		86.9454		88.0585
96.2075		95.6509		96.7641
23.843		23.2865		24.3996
82.8621		82.3055		83.4186
94.4014		93.8448		94.9579
97.8637		97.3071		98.4203
91.8647		91.3081		92.4212
92.8778		92.3212		93.4343
97.4431		96.8865		97.9997
93.5364		92.9798		94.0929
89.2066		88.6501		89.7632
82.6429		82.0864		83.1995
89.4472		88.8907		90.0038
94.3294		93.7728		94.886
52.7855		52.2289		53.342
96.3919		95.8353		96.9485
84.9827		84.4261		85.5393
90.2151		89.6585		90.7717
86.4943		85.9377		87.0509
93.2543		92.6977		93.8109
86.1136		85.557		86.6701
70.1636		69.607		70.7202
92.6161		92.0596		93.1727
93.6476		93.0911		94.2042
85.9731		85.4165		86.5296
86.3545		85.798		86.9111
63.3924		62.8359		63.949
90.8138		90.2573		91.3704
84.3298		83.7733		84.8864
93.9816		93.425		94.5382
90.803		90.2465		91.3596
75.7034		75.1469		76.26
71.2018		70.6453		71.7584
97.6158		97.0593		98.1724
81.0013		80.4447		81.5578
94.61		94.0534		95.1666
53.8183		53.2618		54.3749
90.9046		90.348		91.4612
91.9382		91.3816		92.4947
94.0948		93.5382		94.6514
62.8644		62.3078		63.421
91.9869		91.4304		92.5435
44.6488		44.0923		45.2054
87.1197		86.5632		87.6763
77.1204		76.5638		77.677
87.0914		86.5348		87.648
80.1292		79.5726		80.6858
91.4769		90.9203		92.0335
64.2584		63.7019		64.815
93.2392		92.6826		93.7958
90.7262		90.1696		91.2828
94.9152		94.3586		95.4718
34.5921		34.0355		35.1486
81.6044		81.0478		82.161
75.9744		75.4178		76.531
92.4622		91.9057		93.0188
95.8571		95.3005		96.4137
88.6647		88.1082		89.2213
77.4244		76.8678		77.981
89.7719		89.2153		90.3284
96.5357		95.9792		97.0923
91.4957		90.9392		92.0523
90.149		89.5925		90.7056
88.3603		87.8037		88.9168
80.6366		80.08		81.1932
91.0706		90.514		91.6271
86.1389		85.5823		86.6955
93.337		92.7804		93.8936
34.4298		33.8732		34.9864
73.781		73.2244		74.3375
90.22		89.6635		90.7766
90.8041		90.2475		91.3606
93.1286		92.5721		93.6852
95.5976		95.041		96.1541
89.1782		88.6216		89.7348
88.8435		88.2869		89.4001
94.0574		93.5008		94.6139
91.4935		90.9369		92.05
83.3501		82.7935		83.9067
92.069		91.5125		92.6256
89.3624		88.8058		89.919
81.5757		81.0191		82.1322
91.392		90.8354		91.9485
54.6555		54.0989		55.2121
74.4708		73.9142		75.0273
81.6058		81.0492		82.1624
96.4001		95.8436		96.9567
83.1239		82.5674		83.6805
64.5234		63.9668		65.08
68.8825		68.3259		69.4391
88.5307		87.9741		89.0872
94.1848		93.6282		94.7414
66.3561		65.7995		66.9126
95.8209		95.2643		96.3775
86.1459		85.5893		86.7025
89.8283		89.2717		90.3849
89.7588		89.2022		90.3154
88.8302		88.2736		89.3867
92.9132		92.3567		93.4698
92.2819		91.7253		92.8385
92.2303		91.6737		92.7868
94.3833		93.8267		94.9399
87.9449		87.3883		88.5014
92.1333		91.5767		92.6899
81.9157		81.3591		82.4723
80.9098		80.3532		81.4663
70.6407		70.0842		71.1973
84.775		84.2184		85.3315
86.1378		85.5813		86.6944
86.6279		86.0713		87.1844
89.8422		89.2856		90.3987
65.4704		64.9138		66.027
74.5055		73.9489		75.062
92.5934		92.0368		93.15
90.1495		89.5929		90.7061
92.2781		91.7216		92.8347
85.9542		85.3976		86.5107
94.4455		93.8889		95.002
71.0509		70.4943		71.6075
75.1948		74.6382		75.7513
88.3203		87.7637		88.8769
85.4225		84.8659		85.979
79.3617		78.8052		79.9183
